z,log10_M_halo,Observed_Eps1,Observed_Eps2,log10_c_ref,log10_c_pred,residual
1.0,5.106856080159376,0.00022042505384847557,0.21566517215105754,1.219462619186164,1.403660166468768,0.18419754728260407
1.0,4.55504459136529,-0.0873310300300094,0.16102614801170037,1.265814784244867,1.367278328435163,0.10146354419029602
1.0,3.7382229300564243,0.13420359295439951,-0.04625447610311919,1.3344278037948119,1.3733127081426466,0.03888490434783476
1.0,4.779362888484711,-0.07324204758492178,0.03393132789833773,1.2469720472868357,1.4224472287781365,0.1754751814913007
1.0,3.68185052554816,-0.019876455909720557,-0.09164358322787114,1.339163085773506,1.4230233853751844,0.0838602996016784
1.0,4.164451361586025,0.00798110983296606,-0.13421136851270596,1.2986246155463252,1.4144144988203633,0.11578988327403805
1.0,4.354761894882674,0.022636130263231833,0.053140540410043915,1.2826385307494068,1.4039602115045622,0.12132168075515537
1.0,4.608771624861305,-0.069228994598729,-0.04525924592390428,1.261301713431202,1.4347573831937475,0.17345566976254556
1.0,4.7562530449551215,-0.07387214730501489,0.03203566334675582,1.248913274143321,1.4231901346668845,0.1742768605235634
1.0,4.8947858883886965,0.09514685974576269,-0.04746451872871914,1.2372765152949008,1.371147807943666,0.1338712926487653
1.0,5.079899377762761,-0.10577245651488587,0.02384359635671985,1.2217269821874794,1.4326893737701663,0.21096239158268681
1.0,3.7637807057892188,-0.09268557759291558,-0.023832738852617632,1.332280950633257,1.4373514559356637,0.1050705053024068
1.0,4.18554090326541,-0.03827458110072926,-0.01244515576367472,1.296853094045257,1.4230515311957956,0.1261984371505387
1.0,3.9031192216310666,-0.020011759249469626,0.07798220893344686,1.320576515302542,1.4031019286327007,0.08252541333015873
1.0,4.914648460204212,-0.016832889661681845,-0.16081490384115268,1.2356080592623977,1.4242789879866928,0.18867092872429514
1.0,3.5667985287165553,0.0013997588399422174,-0.04800524068129869,1.3488274535073608,1.4094050551129234,0.06057760160556258
1.0,5.318500087216116,0.0683759415901898,-0.2539142011170089,1.2016845225933976,1.40937614606086,0.2076916234674624
1.0,4.31032132976488,0.04801306722626968,0.05665107528266425,1.2863715382193015,1.4041016499702077,0.1177301117509062
1.0,5.020870940678622,-0.030871119243290224,-0.2473326468577106,1.2266853709025471,1.3799950402777414,0.1533096693751943
1.0,4.4475167515230485,-0.05183040467040494,-0.26726668983596674,1.2748471227916154,1.350471356145287,0.07562423335367163
1.0,4.073437835845745,0.021118988698606542,-0.05883198135367147,1.306269751708509,1.3988775904631128,0.09260783875460388
1.0,5.0025849775292635,-0.12045929805195153,-0.10558593516357279,1.2282213918070932,1.412140477940337,0.18391908613324381
1.0,3.6941798868694713,0.002345057811304686,-0.18883822566563335,1.338127419422516,1.421225421997607,0.08309800257509115
1.0,4.324715576624115,0.07407067551415307,0.07625854752023976,1.2851624214831256,1.409799577180119,0.1246371556969934
1.0,4.063277925119245,0.08349789315912132,0.04633307533845779,1.3071231842095348,1.4046635193067727,0.09754033509723792
1.0,4.280555561179384,-0.07258592665026906,-0.1109112532178112,1.2888718627804832,1.4282448695015524,0.13937300672106923
1.0,5.2422184192181795,-0.1298301755592964,-0.10956762569082956,1.2080921827052242,1.4043558413674153,0.1962636586621911
1.0,3.6624902345174344,-0.11362928778802224,0.06950772948995597,1.340789350220087,1.4160210218481706,0.07523167162808364
1.0,4.615862330127367,-0.04956728129287184,0.05179318340880813,1.2607060941888526,1.4120903496375241,0.1513842554486715
1.0,4.595068557659521,0.05947766066412196,-0.021465396386560767,1.2624527710761515,1.3874650218380769,0.12501225076192535
1.0,4.164406139236824,-0.0424995188079037,-0.10583107236301739,1.2986284142236582,1.429840954205725,0.13121253998206694
1.0,5.446537627075643,-0.058048089229058436,-0.16402555726431092,1.1909293692451974,1.414601261247841,0.22367189200264348
1.0,4.07255219535583,-0.05783825593386305,0.0030666914904835534,1.3063441455096616,1.4264505542622157,0.12010640875255407
1.0,4.516514997280878,-0.07913104495453274,0.007698095804247658,1.2690512701479577,1.4308823376815878,0.16183106753363008
1.0,3.795901471881816,0.10685529283910784,-0.047453863796097596,1.3295828062814787,1.3701948274557518,0.040612021174273094
1.0,3.892867969578832,-0.050054958565370615,-0.15870067043659278,1.3214376204749294,1.419817032264966,0.09837941179003651
1.0,5.181640021471357,0.08957406644013842,0.17763087572071573,1.2131807681159574,1.4257843424328518,0.21260357431689436
1.0,3.5075064063838397,-0.048471777897899054,0.07280010150907833,1.3538079917833088,1.405372341701892,0.05156434991858316
1.0,5.065242020308505,0.008659882481985017,-0.12123284561891418,1.222958200213637,1.4118958605545242,0.18893766034088721
1.0,5.166955433834906,-0.05040010504366493,0.04305821884812929,1.2144142734774193,1.4148092772025453,0.2003950037251261
1.0,5.375814676988797,0.16383092139499378,-0.09958527088100746,1.1968700970524924,1.348314355073564,0.15144425802107153
1.0,5.445203326496904,0.1631034116770468,0.10029821909985837,1.1910414504938114,1.4331529140661885,0.24211146357237712
1.0,5.165646083871861,0.07726564483691009,0.024773118701520852,1.214524258874315,1.3984330456837903,0.1839087868094753
1.0,3.6316352117492032,0.0297862618485233,0.002971766603384621,1.3433811721326183,1.399679278092165,0.05629810595954665
1.0,4.30758512026612,0.0763739734964895,0.1309304435036551,1.2866013798171974,1.4180726529546535,0.1314712731374561
1.0,4.249586972655264,-0.19024755732037507,-0.16247255324996535,1.2914732242165092,1.3207661801874153,0.029292955970906087
1.0,4.515002693485916,0.07922150931418626,-0.13559800154575447,1.2691783036667343,1.355569226216077,0.08639092254934266
